transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,original_transaction_id,currency,notes_suspicious
T03512,U039,2021-12-22,Expense,Rent,998.0,Cash,Pune,Paid electricity bill ,T03512,INR,False
T03261,U179,2022-03-24,Expense,Food,143.0,Card,Delhi,Grocery shopping,T03261,USD,False
T04316,U143,2022-10-18,Expense,Rent,149.0,Cash,Bengaluru,,T04316,INR,False
T05649,U079,2021-12-12,Expense,Rent,49.0,UPI,,Paid electricity bill,T05649,INR,False
T14750,U020,,Income,Other Income,83802.0,Bank Transfer,Chennai,Gift via app,T14750,INR,False
T04246,U188,2022-12-07,Expense,Entertainment,208.0,UPI,Hyderabad,Monthly rent,T04246,INR,False
T01814,U150,2019-09-12,Expense,Savings,681.0,Cash,Kolkata,Salary,T01814,INR,False
T06293,U014,2022-01-06,Expense,Rent,2524.0,Bank Transfer,,Salary,T06293,INR,False
T07930,U138,2022-04-11,Expense,Education,93.0,Bank Transfer,Pune,hZtATyn1UX55solCMr1,T07930,INR,True
T04656,U112,2021-02-03,Expense,Food,323.0,UPI,Ahmedabad,Monthly rent,T04656,INR,False
T11712,U117,2022-02-11,Expense,Others,662.0,UPI,Chennai,Salary cash,T11712,INR,False
T00308,U009,2022-11-21,Expense,Food,1019.0,UPI,Kolkata,,T00308,INR,False
T01783,U092,2022-12-29,Expense,Entertainment,203.0,Bank Transfer,jaipur,Course fee ,T01783,INR,False
T09558,U082,2020-10-26,Income,Salary,59149.0,Bank Transfer,Chennai,Netflix subscription,T09558,INR,False
T09993,U148,2021-05-25,Income,Other Income,78744.0,Bank Transfer,,Doctor visit,T09993,INR,False
T02596,U050,2021-03-03,Income,Other Income,58874.0,Card,Bengaluru,Salary,T02596,INR,False
T05569,U049,2021-09-24,Expense,Food,258.0,Bank Transfer,Lucknow,Dinner at resto,T05569,INR,False
T10777,U044,2022-07-02,Expense,Travel,336.0,UPI,Kolkata,Uber to office,T10777,INR,False
T11684,U114,2022-01-20,Expense,Food,383.0,Bank Transfer,Hyderabad,Grocery shopping,T11684,INR,False
T14503,U119,2022-03-08,Expense,Savings,93.0,Card,Ahmedabad,,T14503,INR,False
T11737,U059,2021-04-16,Expense,Food,82.0,Cash,Lucknow,,T11737,INR,False
T08540,U095,2021-06-26,Expense,Food,1761.0,Cash,Hyderabad,wkAdxBaz8rnYSOE,T08540,INR,True
T11492-1,U149,2020-12-28,Expense,Rent,1580.0,UPI,Lucknow,Uber to office,T11492,INR,False
T10632,U157,2021-11-19,Expense,Rent,856.0,UPI,Mumbai,Paid electricity bill ,T10632,INR,False
T02786,U150,2019-10-22,Expense,Rent,46.0,Cash,Hyderabad,,T02786,USD,False
T14674,U158,2022-04-17,Income,Bonus,35621.0,Card,Pune,Uber to office,T14674,INR,False
T06474,U136,2019-04-24,Expense,Rent,490.0,Bank Transfer,Mumbai,Doctor visit,T06474,INR,False
T05913,U070,2020-07-13,Expense,Food,1096.0,UPI,,Uber to office,T05913,INR,False
T02520,U088,2021-01-01,Expense,Health,193.0,Bank Transfer,Ahmedabad,Netflix subscription,T02520,INR,False
T02736,U040,2020-08-05,Expense,Entertainment,187.0,Bank Transfer,Bengaluru,Doctor visit cash,T02736,INR,False
T00990,U014,2022-10-16,Expense,Others,2506.0,Bank Transfer,Ahmedabad,Doctor visit cash,T00990,INR,False
T08692,U116,2020-04-05,Income,Salary,56751.0,UPI,Bengaluru,Paid electricity bill,T08692,INR,False
T07857,U002,2019-07-08,Income,Other Income,63433.0,Bank Transfer,Ahmedabad,Paid electricity bill cash,T07857,INR,False
T08139,U079,2022-12-18,Income,Bonus,55318.0,Cash,Bengaluru,Monthly rent cash,T08139,INR,False
T02021,U035,2022-04-29,Expense,Others,206.0,UPI,Kolkata,Uber to office,T02021,INR,False
T08463,U179,2022-10-28,Expense,Utilities,215.0,Cash,Bengaluru,Uber to office ,T08463,INR,False
T09732,U071,2019-02-16,Expense,Travel,2871.0,Card,mumbai,Monthly rent via app,T09732,INR,False
T08387,U009,2020-07-15,Expense,Utilities,272.0,UPI,Pune,VDSr4SI1JVHg,T08387,INR,False
T04370,U119,2021-03-31,Expense,Food,5387.0,Bank Transfer,Pune,A7Brvt0bSrovLXo,T04370,INR,True
T03937,U104,2022-06-18,Income,Other Income,53334.0,Cash,Ahmedabad,Grocery shopping ,T03937,INR,False
T12024,U066,2022-01-03,Expense,Travel,239.0,Bank Transfer,Pune,Paid electricity bill,T12024,INR,False
T14443,U025,2020-02-13,Expense,Rent,129.0,UPI,Lucknow,,T14443,INR,False
T05759,U088,2019-12-28,Expense,Entertainment,123.0,Bank Transfer,Chennai,Dinner at resto cash,T05759,INR,False
T00315-1,U142,2019-01-09,Expense,Food,143.0,Cash,Chennai,,T00315,INR,False
T05202,U088,2019-04-18,Expense,Food,125.0,Cash,Jaipur,Monthly rent,T05202,INR,False
